feature,lasso_abs,ridge_abs,enet_abs,lasso_signed
MiscFeature_Gar2,0.0,0.00013754065234696466,0.0,-0.0
GarageType_None,0.0,2.5422126542454238e-05,0.0,0.0
GarageType_CarPort,0.0,0.013629031685362825,0.0,-0.0
GarageType_Basment,0.0,0.0042635263906237965,0.0,-0.0
GarageType_2Types,0.0,0.01972285177147972,0.0,-0.0
GarageType_Attchd,0.0,0.0027695615945204644,0.0,-0.0
Electrical_FuseF,0.0,0.0008491941087212865,0.0,0.0
Electrical_FuseA,0.0,0.0016028474173517826,0.0,0.0
Electrical_SBrkr,0.0,0.007452792860291935,0.0,-0.0
MoSold_3,0.0,0.002387259404281833,0.0,-0.0
MoSold_4,0.0,0.0014746948395321646,0.0,0.0
MoSold_1,0.0,0.002434816957888917,0.0,-0.0
MoSold_11,0.0,0.010792416930129983,0.0,-0.0
MoSold_10,0.0,0.00428632055969598,0.0,-0.0
YrSold_2008,0.0,0.001630846215717352,0.0,0.0
YrSold_2007,0.0,0.00034470972118565146,0.0,-0.0
YrSold_2006,0.0,0.004186361735195196,0.0,0.0
MoSold_8,0.0,0.002719229338489844,0.0,0.0
MoSold_12,0.0,0.0006830338987582479,0.0,-0.0
MoSold_2,0.0,0.006137664515365248,0.0,-0.0
SaleType_CWD,0.0,0.009168959888393554,0.0,0.0
YrSold_2010,0.0,0.0018192558361232666,0.0,0.0
SaleType_ConLw,0.0,0.001637668404020744,0.0,-0.0
SaleType_ConLI,0.0,0.01277291858814626,0.0,-0.0
SaleType_ConLD,0.0,0.017315656554257968,0.0,0.0
SaleType_Con,0.0,0.006743458613388171,0.0,0.0
SaleCondition_AdjLand,0.0,0.01629208627785006,0.0,0.0
SaleType_Oth,0.0,0.007507762959687222,0.0,0.0
SaleCondition_Alloca,0.0,0.0033342582279080983,0.0,0.0
SaleCondition_Partial,0.0,0.009224437089676801,0.0,0.0
